month,model,pred,issue,h,q05,q25,q50,q75,q95
2026-09-01,drift_24m,4190.205,2026-09-01,1,4189.551,4189.868,4190.224,4190.448,4190.842
2026-10-01,drift_24m,4190.084,2026-09-01,2,4188.830,4189.499,4190.122,4190.538,4191.349
2026-11-01,drift_24m,4189.963,2026-09-01,3,4188.230,4189.031,4189.924,4190.573,4191.714
2026-12-01,drift_24m,4189.841,2026-09-01,4,4187.715,4188.765,4189.797,4190.710,4192.068
2027-01-01,drift_24m,4189.720,2026-09-01,5,4187.233,4188.407,4189.622,4190.720,4192.314
2027-02-01,drift_24m,4189.599,2026-09-01,6,4186.824,4188.265,4189.450,4190.746,4192.370
2027-03-01,drift_24m,4189.478,2026-09-01,7,4186.550,4188.145,4189.252,4190.569,4192.409
2027-04-01,drift_24m,4189.357,2026-09-01,8,4186.439,4188.036,4189.066,4190.435,4192.337
2027-05-01,drift_24m,4189.236,2026-09-01,9,4186.206,4187.905,4189.122,4190.196,4192.291
2027-06-01,drift_24m,4189.115,2026-09-01,10,4186.118,4187.488,4189.140,4189.951,4192.116
2027-07-01,drift_24m,4188.994,2026-09-01,11,4185.967,4187.220,4189.081,4190.045,4192.743
2027-08-01,drift_24m,4188.873,2026-09-01,12,4185.498,4187.109,4188.727,4189.848,4193.235
2027-09-01,drift_24m,4188.751,2026-09-01,13,4185.156,4186.852,4188.370,4189.876,4193.643
2027-10-01,drift_24m,4188.630,2026-09-01,14,4184.671,4186.597,4188.155,4190.014,4193.503
2027-11-01,drift_24m,4188.509,2026-09-01,15,4184.060,4186.214,4188.061,4190.162,4193.449
2027-12-01,drift_24m,4188.388,2026-09-01,16,4183.592,4185.913,4187.942,4190.299,4193.237
2028-01-01,drift_24m,4188.267,2026-09-01,17,4182.824,4185.561,4188.015,4190.224,4193.435
2028-02-01,drift_24m,4188.146,2026-09-01,18,4182.672,4185.266,4187.946,4190.165,4193.251
2028-03-01,drift_24m,4188.025,2026-09-01,19,4182.442,4185.131,4187.792,4190.263,4193.294
2028-04-01,drift_24m,4187.904,2026-09-01,20,4182.069,4184.830,4187.569,4189.897,4193.192
2028-05-01,drift_24m,4187.783,2026-09-01,21,4181.725,4184.722,4187.461,4189.647,4193.316
